RefID,Author(s) Year,Genus,Species,Control,Exposure.in.days,pulse.press,Coral age class,Total N,PO4,Std. Response,Response,SD,SE,N,RiskRatio,SERiskRatio
NU40b,"Humphrey, Weber, Lott, Cooper, Fabricius 2008",Acropora,millepora,exp,0.125,press,egg,20,4,Fertilization,87.4285714,0.425917731,0.1904762,5,0.991360691,0.235669318
NU40c,"Humphrey, Weber, Lott, Cooper, Fabricius 2008",Acropora,millepora,control,0.125,press,egg,0.05,0,Fertilization,86.5185185,5.632166654,2.5187815,5,,
NU40c,"Humphrey, Weber, Lott, Cooper, Fabricius 2008",Acropora,millepora,exp,0.125,press,egg,5,1,Fertilization,88.302106,6.298766469,2.816894,5,1.020615095,0.240124026
NU40c,"Humphrey, Weber, Lott, Cooper, Fabricius 2008",Acropora,millepora,exp,0.125,press,egg,10,2,Fertilization,96.24999,3.726787416,1.66667,5,1.112478481,0.197374297
NU48a,Lam et al 2015,Platygyra,acuta,control,4,pulse,egg,2.25,0.08,Fertilization,90.88,3.868397601,1.73,5,,
NU48a,Lam et al 2015,Platygyra,acuta,exp,4,pulse,egg,7.25,0.08,Fertilization,86.43,3.309380607,1.48,5,0.951034331,0.226873437
NU48a,Lam et al 2015,Platygyra,acuta,exp,4,pulse,egg,52.25,0.08,Fertilization,87.91,4.427414595,1.98,5,0.967319542,0.218118834
NU48a,Lam et al 2015,Platygyra,acuta,exp,4,pulse,egg,102.25,0.08,Fertilization,83.96,4.405053916,1.97,5,0.923855634,0.241410632
NU48a,Lam et al 2015,Platygyra,acuta,exp,4,pulse,egg,202.25,0.08,Fertilization,74.32,8.295812197,3.71,5,0.81778169,0.298625164
NU48a,Lam et al 2015,Platygyra,acuta,exp,4,pulse,egg,7.25,0.08,Fertilization,84.95,3.309380607,1.48,5,0.93474912,0.23559081
NU48a,Lam et al 2015,Platygyra,acuta,exp,4,pulse,egg,52.25,0.08,Fertilization,81.73,7.200138888,3.22,5,0.899317782,0.25451642
NU48a,Lam et al 2015,Platygyra,acuta,exp,4,pulse,egg,102.25,0.08,Fertilization,79.26,5.523087904,2.47,5,0.872139085,0.269080867
NU48a,Lam et al 2015,Platygyra,acuta,exp,4,pulse,egg,202.25,0.08,Fertilization,77.04,1.654690303,0.74,5,0.847711268,0.28226906
NU48a,Lam et al 2015,Platygyra,acuta,exp,4,pulse,egg,52.25,50.08,Fertilization,85.44,5.523087904,2.47,5,0.940140845,0.232707584
NU48a,Lam et al 2015,Platygyra,acuta,exp,4,pulse,egg,102.25,100.08,Fertilization,77.04,4.96407091,2.22,5,0.847711268,0.28226906
NU02a,Bassim and Sammarco 2003,Diploria,strigosa,control,3.333333333,pulse,larva,0,0,Survival,59.6016,30.40897959,15.2044898,4,,
NU02a,Bassim and Sammarco 2003,Diploria,strigosa,exp,3.083333333,pulse,larva,20,0,Survival,21.4172,10.92714286,5.463571429,4,0.359339347,1.042467234
NU02b,Bassim and Sammarco 2003,Diploria,strigosa,control,9,pulse,larva,0,0,Survival,53.7445,27.42066327,13.71033163,4,,
NU02b,Bassim and Sammarco 2003,Diploria,strigosa,exp,9.083333333,pulse,larva,20,0,Survival,11.1653,5.696581633,2.848290816,4,0.20774777,1.484669621
NU02c,Bassim and Sammarco 2003,Diploria,strigosa,control,9,pulse,larva,0,0,Settlement,69.7,7.4,3.7,4,,
NU02c,Bassim and Sammarco 2003,Diploria,strigosa,exp,9.083333333,pulse,larva,20,0,Settlement,48.66667,6.8148,3.4074,4,0.69823056,0.610228361
NU11b,Cox and Ward 2002,Pocillopora,damicornis,control,240,press,larva,0.9,0,Settlement,49.6,13.1,6.55,4,,
NU11b,Cox and Ward 2002,Pocillopora,damicornis,exp,240,press,larva,17.9,0,Settlement,53.9,6.46,3.23,4,1.086693548,0.683998648
NU11d,Cox and Ward 2002,Pocillopora,damicornis,control,240,press,larva,0.9,0,Survival,32.8,5.79,4.094148263,2,,
NU11d,Cox and Ward 2002,Pocillopora,damicornis,exp,240,press,larva,17.9,0,Survival,52.2,7.77,5.49421969,2,1.591463415,1.217474702
NU43a,Kitchen et al 2020,Lobactis,scutaria,control,4,press,larva,0.12,0.06,Survival,28.899,8.204133409,3.669,5,,
NU43a,Kitchen et al 2020,Lobactis,scutaria,exp,4,press,larva,1.78,0.05,Survival,17.8899,4.102737525,1.8348,5,0.619049102,1.1874404
NU43a,Kitchen et al 2020,Lobactis,scutaria,exp,4,press,larva,0.06,0.49,Survival,19.266,4.102961132,1.8349,5,0.666666667,1.153327219
NU43a,Kitchen et al 2020,Lobactis,scutaria,exp,4,press,larva,1.02,0.41,Survival,21.5596,5.128645513,2.2936,5,0.746032735,1.104412271
NU43b,Kitchen et al 2020,Pocillopora,acuta,control,4,press,larva,0.9,0.19,Survival,95.8715,6.154441698,2.75235,5,,
NU43b,Kitchen et al 2020,Pocillopora,acuta,exp,4,press,larva,2.57,0.08,Survival,90.825688,6.154312006,2.752292,5,0.94736901,0.169748609
NU43b,Kitchen et al 2020,Pocillopora,acuta,exp,4,press,larva,0.47,0.28,Survival,94.036697,5.128585139,2.293573,5,0.980861852,0.145929769
NU43b,Kitchen et al 2020,Pocillopora,acuta,exp,4,press,larva,1.94,0.19,Survival,94.954128,3.077158239,1.376147,5,0.990431233,0.138710455
NU43c,Kitchen et al 2020,Montipora,capitata,control,4,press,larva,0.47,0.04,Survival,50,24.6172525,11.00917,5,,
NU43c,Kitchen et al 2020,Montipora,capitata,exp,4,press,larva,2.06,0.06,Survival,21.55963,22.56583007,10.091746,5,0.4311926,0.963150925
NU43c,Kitchen et al 2020,Montipora,capitata,exp,4,press,larva,0.12,0.37,Survival,58.715596,4.102877727,1.8348627,5,1.17431192,0.583630878
NU43c,Kitchen et al 2020,Montipora,capitata,exp,4,press,larva,0.54,0.39,Survival,54.12844,5.12859632,2.293578,5,1.0825688,0.607858148
NU48b,Lam et al 2015,Platygyra,acuta,control,72,pulse,larva,2.25,0.08,Survival,80,6.596400534,2.95,5,,
NU48b,Lam et al 2015,Platygyra,acuta,exp,72,pulse,larva,27.25,0.08,Survival,70,16.59162439,7.42,5,0.875,0.368394199
NU48b,Lam et al 2015,Platygyra,acuta,exp,72,pulse,larva,52.25,0.08,Survival,80,6.596400534,2.95,5,1,0.316227766
NU48b,Lam et al 2015,Platygyra,acuta,exp,72,pulse,larva,102.25,0.08,Survival,56.68,30.92482013,13.83,5,0.7085,0.45039777
NU48b,Lam et al 2015,Platygyra,acuta,exp,72,pulse,larva,202.25,0.08,Survival,14.29,14.42263845,6.45,5,0.178625,1.1178462
NU48b,Lam et al 2015,Platygyra,acuta,exp,72,pulse,larva,27.25,0.08,Survival,84.33,4.136725758,1.85,5,1.054125,0.295234694
NU48b,Lam et al 2015,Platygyra,acuta,exp,72,pulse,larva,52.25,0.08,Survival,78.8,7.222499567,3.23,5,0.985,0.322191103
NU48b,Lam et al 2015,Platygyra,acuta,exp,72,pulse,larva,102.25,0.08,Survival,68.2,12.36545592,5.53,5,0.8525,0.378490597
NU48b,Lam et al 2015,Platygyra,acuta,exp,72,pulse,larva,202.25,0.08,Survival,80,9.682174343,4.33,5,1,0.316227766
NU48b,Lam et al 2015,Platygyra,acuta,exp,72,pulse,larva,52.25,50.08,Survival,76.04,5.142956348,2.3,5,0.9505,0.336183675
NU48b,Lam et al 2015,Platygyra,acuta,exp,72,pulse,larva,102.25,100.08,Survival,76.04,6.171547618,2.76,5,0.9505,0.336183675
NU48c,Lam et al 2015,Platygyra,acuta,control,96,pulse,larva,2.25,0.08,Settlement,30,19.6773982,8.8,5,,
NU48c,Lam et al 2015,Platygyra,acuta,exp,96,pulse,larva,27.25,0.08,Settlement,21.57,11.26978261,5.04,5,0.719,1.092648337
NU48c,Lam et al 2015,Platygyra,acuta,exp,96,pulse,larva,52.25,0.08,Settlement,6.58,6.260990337,2.8,5,0.219333333,1.818290501
NU48c,Lam et al 2015,Platygyra,acuta,exp,96,pulse,larva,102.25,0.08,Settlement,11.63,16.59162439,7.42,5,0.387666667,1.409381823
NU48c,Lam et al 2015,Platygyra,acuta,exp,96,pulse,larva,202.25,0.08,Settlement,9.94,17.86618314,7.99,5,0.331333333,1.509549304
NU48c,Lam et al 2015,Platygyra,acuta,exp,96,pulse,larva,27.25,0.08,Settlement,24.93,11.26978261,5.04,5,0.831,1.033882467
NU48c,Lam et al 2015,Platygyra,acuta,exp,96,pulse,larva,52.25,0.08,Settlement,23.25,24.73091183,11.06,5,0.775,1.061546853
NU48c,Lam et al 2015,Platygyra,acuta,exp,96,pulse,larva,102.25,0.08,Settlement,14.85,15.65247584,7,5,0.495,1.270223608
NU48c,Lam et al 2015,Platygyra,acuta,exp,96,pulse,larva,202.25,0.08,Settlement,11.49,11.58283212,5.18,5,0.383,1.416795929
NU48c,Lam et al 2015,Platygyra,acuta,exp,96,pulse,larva,52.25,50.08,Settlement,9.8,18.17923266,8.13,5,0.326666667,1.519040155
NU48c,Lam et al 2015,Platygyra,acuta,exp,96,pulse,larva,102.25,100.08,Settlement,1.54,3.756594202,1.68,5,0.051333333,3.640560349
NU64a,Renegar 2015 (Ch 2),Porites,astreoides,control,14,press,larva,1.337,0.383,Survival,43.39623,4.669563477,3.30188,2,,
NU64a,Renegar 2015 (Ch 2),Porites,astreoides,exp,14,press,larva,10.33,0.373,Survival,33.30189,9.605974912,6.79245,2,0.767391315,1.285919945
NU64a,Renegar 2015 (Ch 2),Porites,astreoides,exp,14,press,larva,1.301,4.118,Survival,30,4.802994527,3.39623,2,0.691304291,1.348643943
NU64a,Renegar 2015 (Ch 2),Porites,astreoides,exp,14,press,larva,10.31,4.105,Survival,36.79245,4.669577619,3.30189,2,0.847825952,1.229287713
NU64b,Renegar 2015 (Ch 2),Porites,astreoides,control,14,press,larva,1.259,0.345,Survival,38.20755,8.170049018,4.71698,3,,
NU64b,Renegar 2015 (Ch 2),Porites,astreoides,exp,14,press,larva,10.323,0.355,Survival,32.16981,6.209246261,3.58491,3,0.841975212,1.114418874
NU64b,Renegar 2015 (Ch 2),Porites,astreoides,exp,14,press,larva,1.27,4.152,Survival,26.22642,5.555622247,3.20754,3,0.686419831,1.215213655
NU64b,Renegar 2015 (Ch 2),Porites,astreoides,exp,14,press,larva,10.28,4.176,Survival,33.30189,5.555622247,3.20754,3,0.871604958,1.098501453
NU73a,Serrano 2018,Porites,astreoides,control,2,press,larva,3,0,Survival,96.181818,3.818182,1.909091,4,,
NU73a,Serrano 2018,Porites,astreoides,exp,2,press,larva,12,0,Survival,91.818182,15.090904,7.545452,4,0.954631384,0.17944808
NU73b,Serrano 2018,Porites,astreoides,control,4,press,larva,3,0,Survival,76,1.27272,0.63636,4,,
NU73b,Serrano 2018,Porites,astreoides,exp,4,press,larva,12,0,Survival,67,2.9091,1.45455,4,0.881578947,0.449534978
NU73c,Serrano 2018,Porites,astreoides,control,5,press,larva,3,0,Survival,52.18182,5.63636,2.81818,4,,
NU73c,Serrano 2018,Porites,astreoides,exp,5,press,larva,12,0,Survival,37.45455,3.8182,1.9091,4,0.717770097,0.804095583
NU73d,Serrano 2018,Porites,astreoides,control,2,press,larva,3,0,Settlement,7.858617,3.476708,1.738354,4,,
NU73d,Serrano 2018,Porites,astreoides,exp,2,press,larva,12,0,Settlement,25.91507,6.61696,3.30848,4,3.297662935,1.909426873
NU73e,Serrano 2018,Porites,astreoides,control,4,press,larva,3,0,Settlement,19.74672,1.90658,0.95329,4,,
NU73e,Serrano 2018,Porites,astreoides,exp,4,press,larva,12,0,Settlement,45.09304,2.46734,1.23367,4,2.283571145,1.149105011
NU73f,Serrano 2018,Porites,astreoides,control,5,press,larva,3,0,Settlement,32.58811,5.60758,2.80379,4,,
NU73f,Serrano 2018,Porites,astreoides,exp,5,press,larva,12,0,Settlement,49.35481,3.92532,1.96266,4,1.514503603,0.87959491
